anyo;trimestre;barrio;num_viviendas;metros_2;dormitorios;banyos;renta_min;renta_media;renta_max;euros_m2;desv_tipica
2013;4;Altozano;24;93;3;1,5;275;425;550;4,6;81
2013;4;Florida Baja;28;82;2,6;1,5;300;427;600;5,2;75
2013;4;Casco Antiguo - Sta. Cruz;22;79;2,1;1,5;250;454;800;5,7;162
2013;4;Mercado;42;91;2,9;1,5;300;458;700;5;88
2013;4;Centro Histórico - Tradicional;70;82;2,3;1,5;250;473;900;5,8;160
2013;4;San Gabriel;40;99;2,7;1,9;330;498;650;5;68
2013;4;La Albufereta;73;77;2,1;1,4;250;498;800;6,5;117
2013;4;Polígono de Babel;20;97;3,3;1,9;390;513;650;5,3;66
2013;4;Playa de San Juan;212;87;2,3;1,7;250;536;1000;6,2;154
2013;4;Centro;123;94;2,6;1,6;280;537;1000;5,7;151
2013;4;Gran Vía - Parque Avenidas;25;97;2,8;1,9;450;551;750;5,7;72
2013;4;Cabo de las Huertas;54;108;2,6;1,6;400;632;1300;5,9;219
2013;4;Florida Alta;19;80;2,7;1,2;299;408;500;5,1;56
2013;4;PAU I;19;106;2,7;2,1;500;592;700;5,6;67
2013;4;Polígono de San Blas;14;96;3,1;1,6;340;459;600;4,8;82
2013;4;Raval Roig;13;66;1,7;1,4;350;428;575;6,5;79
2013;4;Urbanova;13;72;1,9;1,5;325;419;500;5,8;60
2013;4;Alipark;12;87;3;1,3;350;409;500;4,7;43
2013;4;Ciudad de Asís;11;78;2,6;1,4;300;375;450;4,8;51
2013;4;Benisaudet;7;97;3;2;400;512;575;5,3;57
2013;4;San Agustín;6;81;2,3;1,3;280;403;750;5;187
2013;4;Villafranqueza;6;76;2,5;1,5;300;450;900;5,9;224
2013;4;Juan XXIII 1er sector;5;88;3,2;1,4;300;334;375;3,8;37
2013;4;PAU II;5;114;3,2;2;500;528;550;4,6;26
2013;4;Vistahermosa;5;139;3,2;2,2;550;730;950;5,3;179
2013;4;San Antón;4;80;2,3;1,3;240;343;430;4,3;78
2013;4;Santa Faz;3;75;1,7;1,3;400;450;550;6;87
2013;4;Sidi Ifni - Nou Alacant;3;88;2,7;1,3;370;407;450;4,6;40
2013;4;Tómbola;3;93;3,3;2;450;483;500;5,2;29
2013;4;Ciudad Jardín;2;208;3;1,5;450;775;1100;3,7;460
2013;4;La Goteta;2;65;1,5;1;390;395;400;6,1;7
2013;4;Virgen del Remedio;2;87;3;1,5;300;340;380;3,9;57
2014;1;Alipark;10;91;2,9;1,3;300;418;475;4,6;53
2014;1;Altozano;26;93;3;1,5;240;415;550;4,5;90
2014;1;Benalúa;53;86;2,8;1,4;280;431;900;5,3;90
2014;1;Benisaudet;9;110;3,4;1,9;400;498;575;4,6;60
2014;1;Cabo de las Huertas;55;90;2,3;1,5;320;591;1250;7;216
2014;1;Campoamor;43;92;3;1,4;275;389;550;4,3;57
2014;1;Carolinas Altas;35;89;2,7;1,2;240;363;480;4,3;49
2014;1;Carolinas Bajas;60;77;2,3;1,2;250;386;550;5,3;66
2014;1;Casco Antiguo - Sta. Cruz;21;72;2;1,3;295;458;800;7;138
2014;1;Centro Histórico - Tradicional;73;82;2,4;1,5;280;496;1200;6,4;167
2014;1;Ciudad de Asís;17;93;2,7;1,4;300;383;450;4,5;47
2014;1;Divina Pastora;2;185;4;2,5;400;625;850;3,4;225
2014;1;Ensanche - Diputación;116;99;2,8;1,6;280;528;1000;5,6;146
2014;1;Florida Alta;13;90;3,2;1,2;325;398;500;4,7;50
2014;1;Florida Baja;25;92;2,7;1,3;300;407;500;4,7;63
2014;1;Garbinet;2;78;2;1;390;445;500;5,7;55
2014;1;Gran Vía - Parque Avenidas;36;99;2,9;1,8;350;541;700;5,6;69
2014;1;Juan XXIII 1er sector;5;84;3;1;300;344;410;4,1;37
2014;1;La Albufereta;64;72;1,9;1,3;230;479;1000;7;127
2014;1;Los Ángeles;20;92;2,9;1,5;300;420;500;4,7;60
2014;1;Mercado;38;103;2,9;1,5;330;515;950;9,4;128
2014;1;PAU I;24;91;2,7;1,9;450;590;675;6,6;61
2014;1;PAU II;8;97;2,4;1,6;425;518;650;5,5;84
2014;1;Pla del Bon Repós;42;78;2,5;1,2;250;368;600;4,9;70
2014;1;Playa de San Juan;197;104;2,4;1,7;300;606;1200;7;205
2014;1;Polígono de Babel;39;100;3,1;1,9;390;539;800;5,5;86
2014;1;Polígono de San Blas;22;92;2,9;1,6;350;459;650;5,4;79
2014;1;Princesa Mercedes - San Fernando;11;80;2,6;1,3;300;370;450;4,7;58
2014;1;Raval Roig;4;57;1;1;350;425;475;7,5;53
2014;1;San Agustín;4;93;2;1,3;320;438;500;4,7;70
2014;1;San Antón;10;65;2,3;1,2;300;366;590;6,3;80
2014;1;San Blas;62;85;2,7;1,5;295;420;600;5,1;61
2014;1;San Gabriel;30;94;2,7;1,7;300;484;700;5,4;103
2014;1;Santa Faz;2;93;2,5;2;400;425;450;4,6;25
2014;1;Sidi Ifni - Nou Alacant;16;82;2,6;1;240;323;370;4,1;32
2014;1;Tómbola;5;105;3,2;2;450;480;500;4,6;24
2014;1;Vistahermosa;13;125;2,9;2,1;400;669;900;5,5;156
2014;1;Villafranqueza;3;84;2,3;1,3;270;357;450;4,5;74
2014;1;Virgen del Remedio;4;90;3,3;1,3;250;298;360;3,3;49
2014;2;Alipark;10;94;3,2;1,5;300;406;500;4,4;56
2014;2;Altozano;55;94;3,1;1,5;250;389;525;4,2;68
2014;2;Benalúa;62;87;2,7;1,5;280;437;700;5,3;86
2014;2;Benisaudet;2;115;3;2;450;480;510;4,2;30
2014;2;Cabo de las Huertas;54;124;2,8;1,7;400;703;1300;6,4;240
2014;2;Campoamor;6;67;1,5;1,2;300;435;550;6,8;83
2014;2;Carolinas Altas;40;82;2,6;1,4;250;380;550;4,9;66
2014;2;Carolinas Bajas;64;80;2,4;1,3;250;372;500;5;61
2014;2;Casco Antiguo - Sta. Cruz;39;76;2;1,2;330;589;1200;8,3;255
2014;2;Centro Histórico - Tradicional;56;94;2,5;1,5;283;548;900;6,1;124
2014;2;Ciudad de Asís;12;88;2,6;1,5;300;370;435;4,5;41
